epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,16335.8,0.4002,0.20396,0.85639,0.99943,1,0.995,0.89058,0.48722,0.18903,0.87085,9.87659e-05,9.87659e-05,9.87659e-05
109,16486.8,0.3996,0.2011,0.85862,0.99956,1,0.995,0.89215,0.47951,0.18436,0.86942,9.47376e-05,9.47376e-05,9.47376e-05
110,16638.1,0.39127,0.20035,0.85893,0.99939,1,0.995,0.89903,0.47189,0.18015,0.86726,9.07784e-05,9.07784e-05,9.07784e-05
111,16789.2,0.4005,0.19968,0.85505,0.99951,1,0.995,0.89829,0.46422,0.18207,0.86379,8.68902e-05,8.68902e-05,8.68902e-05
112,16940.7,0.38719,0.1939,0.85602,0.99969,1,0.995,0.89677,0.47206,0.18073,0.86517,8.30746e-05,8.30746e-05,8.30746e-05
113,17091.9,0.38876,0.19116,0.85653,0.99911,1,0.995,0.89836,0.46084,0.17911,0.86195,7.93333e-05,7.93333e-05,7.93333e-05
114,17243.3,0.39019,0.19426,0.859,0.99899,1,0.995,0.89331,0.47615,0.18471,0.8662,7.5668e-05,7.5668e-05,7.5668e-05
115,17394.4,0.38271,0.19389,0.85328,0.99914,1,0.995,0.89356,0.47648,0.17937,0.86691,7.20803e-05,7.20803e-05,7.20803e-05
116,17545.7,0.39631,0.19464,0.85116,0.99946,1,0.995,0.89169,0.4805,0.18087,0.86772,6.85717e-05,6.85717e-05,6.85717e-05
117,17697,0.39287,0.19547,0.85492,0.99938,1,0.995,0.89566,0.47056,0.17926,0.8657,6.51437e-05,6.51437e-05,6.51437e-05
118,17848.1,0.39281,0.19744,0.84989,0.999,1,0.995,0.89846,0.46184,0.1761,0.86021,6.1798e-05,6.1798e-05,6.1798e-05
119,17999.1,0.38292,0.19432,0.84975,0.99927,1,0.995,0.8956,0.46685,0.17706,0.86261,5.85359e-05,5.85359e-05,5.85359e-05
