epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,9563.43,0.51714,0.2712,0.90622,0.99167,1,0.99446,0.87425,0.5389,0.22746,0.89393,0.00783231,0.00783231,0.00783231
64,9715.4,0.50986,0.27208,0.90541,0.99471,1,0.9945,0.88747,0.50396,0.22487,0.87697,0.00776766,0.00776766,0.00776766
65,9867.24,0.51131,0.26767,0.90369,0.98905,1,0.99367,0.88942,0.48245,0.22684,0.87148,0.00770234,0.00770234,0.00770234
66,10019.1,0.50577,0.26854,0.89815,0.99501,1,0.99433,0.87461,0.50809,0.22081,0.88285,0.00763637,0.00763637,0.00763637
67,10170.7,0.50712,0.27132,0.90559,0.99114,1,0.99462,0.88407,0.5214,0.23575,0.88619,0.00756976,0.00756976,0.00756976
68,10322.5,0.49826,0.26357,0.90064,0.99073,1,0.99406,0.88545,0.49506,0.22442,0.87503,0.00750252,0.00750252,0.00750252
69,10474.2,0.49321,0.26265,0.89715,0.99424,1,0.99442,0.89018,0.4928,0.22097,0.87781,0.00743468,0.00743468,0.00743468
70,10625.9,0.49988,0.26978,0.89653,0.99506,1,0.99446,0.891,0.48752,0.21088,0.87402,0.00736625,0.00736625,0.00736625
71,10777.8,0.48996,0.25611,0.89168,0.98587,1,0.99319,0.88885,0.49345,0.23066,0.88161,0.00729725,0.00729725,0.00729725
72,10929.8,0.50366,0.26292,0.90408,0.99526,1,0.99421,0.89596,0.47198,0.21085,0.8696,0.0072277,0.0072277,0.0072277
73,11081.7,0.48484,0.25904,0.89641,0.99537,1,0.99446,0.88926,0.49131,0.21541,0.87623,0.00715761,0.00715761,0.00715761
74,11233.6,0.48787,0.25452,0.89106,0.99454,1,0.99421,0.8974,0.4751,0.21099,0.86801,0.007087,0.007087,0.007087
75,11385.3,0.48389,0.25591,0.89322,0.99948,1,0.995,0.89953,0.47026,0.19955,0.87067,0.00701588,0.00701588,0.00701588
76,11536.9,0.4936,0.2586,0.89565,0.99401,1,0.99471,0.89059,0.49783,0.21403,0.88182,0.00694428,0.00694428,0.00694428
77,11688.5,0.48228,0.25134,0.89319,0.99902,1,0.995,0.88873,0.49983,0.20534,0.88133,0.00687222,0.00687222,0.00687222
78,11840.2,0.48385,0.25016,0.88979,0.99791,1,0.995,0.89166,0.48536,0.2053,0.87255,0.0067997,0.0067997,0.0067997
79,11992,0.47628,0.24922,0.88216,0.99554,1,0.99446,0.89378,0.47929,0.2108,0.87312,0.00672675,0.00672675,0.00672675
80,12143.9,0.47826,0.24966,0.89164,0.99544,1,0.99408,0.89052,0.49041,0.21181,0.87931,0.00665339,0.00665339,0.00665339
81,12295.8,0.48601,0.253,0.88937,0.99528,1,0.99483,0.88987,0.49151,0.20892,0.87864,0.00657963,0.00657963,0.00657963
82,12447.6,0.47871,0.25063,0.88959,0.98982,1,0.99397,0.89318,0.48179,0.20713,0.87353,0.0065055,0.0065055,0.0065055
83,12599.1,0.47253,0.24904,0.89302,0.99168,1,0.995,0.89257,0.48106,0.20374,0.87109,0.00643101,0.00643101,0.00643101
84,12751.2,0.46793,0.24614,0.88494,0.9914,1,0.99467,0.90423,0.47862,0.2108,0.87427,0.00635617,0.00635617,0.00635617
85,12902.8,0.47088,0.24864,0.88666,0.99554,1,0.99442,0.8942,0.49609,0.20829,0.88001,0.00628101,0.00628101,0.00628101
86,13054.6,0.46432,0.24758,0.88441,0.99378,1,0.9945,0.89055,0.48164,0.21117,0.87655,0.00620555,0.00620555,0.00620555
87,13205.9,0.47658,0.24879,0.88876,0.99495,1,0.995,0.88796,0.49492,0.20688,0.87755,0.00612981,0.00612981,0.00612981
88,13356.9,0.46893,0.24353,0.88678,0.99542,1,0.99446,0.90306,0.4676,0.2017,0.86988,0.0060538,0.0060538,0.0060538
89,13507.8,0.46801,0.23724,0.88733,0.9941,1,0.99429,0.89031,0.48779,0.20467,0.87504,0.00597754,0.00597754,0.00597754
90,13658.6,0.46679,0.24453,0.88225,0.99376,1,0.99425,0.89819,0.48049,0.2022,0.86874,0.00590105,0.00590105,0.00590105
91,13809.5,0.46439,0.24289,0.89024,0.99139,1,0.99458,0.89743,0.47593,0.20498,0.86988,0.00582435,0.00582435,0.00582435
92,13960.3,0.46333,0.24294,0.88697,0.99548,1,0.99442,0.8938,0.47856,0.20754,0.87036,0.00574746,0.00574746,0.00574746
93,14111.2,0.45622,0.23597,0.88205,0.99547,1,0.99467,0.90347,0.46679,0.20304,0.86695,0.0056704,0.0056704,0.0056704
94,14262.1,0.4596,0.23961,0.88584,0.99553,1,0.99417,0.88807,0.48354,0.20302,0.87669,0.00559318,0.00559318,0.00559318
95,14413.1,0.45509,0.23212,0.88413,0.99294,1,0.99412,0.88818,0.50506,0.21116,0.88427,0.00551584,0.00551584,0.00551584
96,14563.9,0.46306,0.23843,0.886,0.99556,1,0.99442,0.89257,0.48332,0.19691,0.87295,0.00543837,0.00543837,0.00543837
97,14714.9,0.45007,0.23419,0.87956,0.9945,1,0.99429,0.89501,0.48664,0.20469,0.8789,0.00536081,0.00536081,0.00536081
98,14866,0.44864,0.23549,0.87837,0.99463,1,0.995,0.89292,0.49529,0.20253,0.877,0.00528318,0.00528318,0.00528318
99,15016.9,0.46701,0.24231,0.88745,0.99558,1,0.99492,0.89845,0.47211,0.1941,0.86932,0.00520548,0.00520548,0.00520548
100,15167.8,0.45567,0.23248,0.88374,0.99556,1,0.99467,0.89829,0.48263,0.20063,0.87235,0.00512775,0.00512775,0.00512775
101,15318.8,0.45357,0.23102,0.88058,0.99556,1,0.9945,0.89457,0.482,0.20224,0.8736,0.00505,0.00505,0.00505
102,15469.7,0.44501,0.22692,0.87617,0.99557,1,0.99458,0.90095,0.47402,0.19551,0.87098,0.00497225,0.00497225,0.00497225
103,15620.7,0.44108,0.23094,0.88183,0.99556,1,0.99462,0.89513,0.47521,0.19816,0.87381,0.00489452,0.00489452,0.00489452
104,15771.6,0.44789,0.23041,0.879,0.99553,1,0.99442,0.89297,0.48031,0.1949,0.87549,0.00481682,0.00481682,0.00481682
105,15922.6,0.43668,0.22669,0.87234,0.99557,1,0.99412,0.88407,0.50753,0.19979,0.88191,0.00473919,0.00473919,0.00473919
106,16073.9,0.43355,0.2236,0.87531,0.99805,1,0.995,0.89191,0.48751,0.19693,0.87356,0.00466163,0.00466163,0.00466163
107,16224.6,0.43471,0.22151,0.87148,0.99787,1,0.995,0.89452,0.47692,0.19079,0.87609,0.00458416,0.00458416,0.00458416
108,16375.5,0.42793,0.21893,0.87135,0.99898,1,0.995,0.89608,0.47176,0.19032,0.8767,0.00450682,0.00450682,0.00450682
109,16526.8,0.43388,0.22187,0.87382,0.99437,1,0.99437,0.90006,0.47347,0.19335,0.86967,0.0044296,0.0044296,0.0044296
110,16678.2,0.42319,0.21732,0.87087,0.99569,1,0.995,0.90388,0.46955,0.1935,0.86782,0.00435254,0.00435254,0.00435254
111,16830,0.4284,0.21749,0.87383,0.99679,1,0.995,0.89527,0.484,0.19371,0.87536,0.00427565,0.00427565,0.00427565
112,16981.6,0.42159,0.2206,0.87252,0.99164,1,0.99437,0.89219,0.48224,0.19738,0.87827,0.00419895,0.00419895,0.00419895
113,17133.2,0.42224,0.21648,0.87111,0.99811,1,0.995,0.89198,0.47471,0.18482,0.87183,0.00412246,0.00412246,0.00412246
114,17285.1,0.41765,0.21071,0.86813,0.99775,1,0.995,0.89329,0.48029,0.18703,0.87234,0.0040462,0.0040462,0.0040462
115,17436.5,0.4267,0.21855,0.86542,0.99571,1,0.995,0.89966,0.46913,0.18788,0.86936,0.00397019,0.00397019,0.00397019
116,17587.3,0.41895,0.21917,0.87502,0.99739,1,0.995,0.8847,0.4985,0.1891,0.88263,0.00389445,0.00389445,0.00389445
117,17738.1,0.41042,0.21113,0.86634,0.99974,1,0.995,0.8966,0.47568,0.18404,0.87252,0.00381899,0.00381899,0.00381899
118,17889.1,0.42008,0.21195,0.87019,0.99829,1,0.995,0.89896,0.47318,0.18731,0.8716,0.00374383,0.00374383,0.00374383
119,18040,0.41244,0.21114,0.87044,0.9982,1,0.995,0.89808,0.47805,0.18708,0.87173,0.00366899,0.00366899,0.00366899
120,18190.9,0.41176,0.20951,0.86672,0.99557,1,0.99483,0.88663,0.49957,0.19364,0.88055,0.0035945,0.0035945,0.0035945
121,18341.8,0.3991,0.20411,0.85957,0.99557,1,0.99475,0.8994,0.47128,0.18565,0.86881,0.00352037,0.00352037,0.00352037
122,18493,0.40909,0.21026,0.86503,0.99569,1,0.995,0.89407,0.48111,0.18741,0.87311,0.00344661,0.00344661,0.00344661
123,18644,0.40409,0.20702,0.86608,0.99558,1,0.995,0.89394,0.48235,0.18867,0.87354,0.00337325,0.00337325,0.00337325
124,18794.8,0.39767,0.20028,0.86588,0.99559,1,0.99483,0.89494,0.47621,0.1898,0.87296,0.0033003,0.0033003,0.0033003
125,18945.6,0.40071,0.20634,0.8637,0.99556,1,0.99492,0.89702,0.47455,0.18672,0.87425,0.00322778,0.00322778,0.00322778
126,19096.5,0.39332,0.20328,0.85656,0.99571,1,0.995,0.89333,0.48992,0.18712,0.88123,0.00315572,0.00315572,0.00315572
127,19247.3,0.40081,0.20469,0.86258,0.9953,1,0.99437,0.88682,0.49229,0.19244,0.88166,0.00308412,0.00308412,0.00308412
128,19398.1,0.3862,0.19604,0.85942,0.99458,1,0.99467,0.90011,0.47375,0.18775,0.86946,0.003013,0.003013,0.003013
129,19549,0.38394,0.19678,0.85649,0.99558,1,0.99462,0.89377,0.47868,0.18803,0.8769,0.00294239,0.00294239,0.00294239
130,19699.8,0.39296,0.20006,0.86463,0.99559,1,0.99467,0.89528,0.47742,0.18621,0.87565,0.0028723,0.0028723,0.0028723
131,19850.5,0.39388,0.20111,0.86083,0.99544,1,0.99475,0.89958,0.47285,0.18588,0.87395,0.00280275,0.00280275,0.00280275
132,20001.4,0.38758,0.19763,0.85642,0.99558,1,0.99492,0.88757,0.48226,0.1855,0.88155,0.00273375,0.00273375,0.00273375
133,20152.6,0.37956,0.19615,0.85645,0.9954,1,0.995,0.89553,0.48183,0.18423,0.87877,0.00266532,0.00266532,0.00266532
134,20304.3,0.37804,0.19262,0.85692,0.99541,1,0.99467,0.89669,0.48699,0.18621,0.88153,0.00259748,0.00259748,0.00259748
135,20456.1,0.38196,0.19398,0.85645,0.99559,1,0.9945,0.89693,0.48428,0.18386,0.87708,0.00253024,0.00253024,0.00253024
136,20607.3,0.38412,0.19523,0.85938,0.99567,1,0.995,0.89708,0.47628,0.18227,0.87437,0.00246363,0.00246363,0.00246363
137,20758,0.37463,0.19461,0.85858,0.99567,1,0.995,0.89082,0.48415,0.18678,0.87825,0.00239766,0.00239766,0.00239766
138,20908.7,0.3818,0.19555,0.85437,0.99848,1,0.995,0.89125,0.48651,0.18315,0.87895,0.00233234,0.00233234,0.00233234
139,21059.5,0.37035,0.19199,0.8507,0.9983,1,0.995,0.89672,0.4794,0.179,0.87893,0.00226769,0.00226769,0.00226769
140,21210.2,0.37477,0.1942,0.85442,0.9956,1,0.995,0.89963,0.47392,0.185,0.87671,0.00220372,0.00220372,0.00220372
141,21360.8,0.37523,0.19512,0.85372,0.99573,1,0.995,0.89742,0.47667,0.18207,0.87625,0.00214046,0.00214046,0.00214046
